16249,-758,3786,-1287,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
16287,-765,3813,-1334,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
16325,-768,3811,-1226,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
16363,-743,3765,-1293,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
16401,-769,3762,-1259,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
16439,-761,3817,-1296,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
16477,-772,3830,-1284,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
16515,-751,3809,-1300,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
16553,-742,3723,-1257,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
16591,-738,3817,-1289,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
16629,-742,3808,-1291,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
16667,-734,3817,-1305,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
16705,-743,3816,-1283,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
16743,-742,3744,-1255,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
16781,-762,3771,-1294,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
16819,-729,3818,-1338,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
16858,-759,3811,-1271,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
16896,-773,3813,-1362,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
16934,-729,3804,-1296,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
16972,-765,3814,-1309,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17010,-802,3810,-1323,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17049,-754,3763,-1305,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17093,-777,3811,-1308,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17138,-756,3829,-1345,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17183,-788,3792,-1306,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17228,-763,3801,-1292,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17273,-774,3817,-1324,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17317,-762,3789,-1291,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17362,-783,3786,-1304,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17407,-815,3827,-1305,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17452,-790,3784,-1303,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17497,-797,3780,-1314,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17532,-791,3789,-1345,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17567,-789,3808,-1294,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17602,-804,3779,-1315,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17638,-737,3800,-1300,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17673,-782,3747,-1278,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17708,-799,3828,-1337,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17743,-818,3812,-1314,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17779,-803,3849,-1304,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17814,-777,3807,-1346,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17849,-744,3784,-1326,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17885,-778,3753,-1294,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17921,-797,3804,-1330,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17958,-769,3784,-1316,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
17995,-765,3799,-1319,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18032,-776,3828,-1328,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18069,-760,3833,-1316,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18105,-761,3759,-1311,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18142,-761,3812,-1313,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18179,-765,3781,-1312,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18216,-762,3792,-1285,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18253,-753,3809,-1381,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18289,-756,3786,-1308,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18325,-780,3802,-1332,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18361,-791,3788,-1311,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18397,-810,3806,-1317,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18433,-792,3832,-1302,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18469,-786,3804,-1336,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18505,-781,3752,-1261,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18541,-779,3793,-1329,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18577,-754,3764,-1330,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18613,-782,3718,-1307,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18649,-767,3795,-1309,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18689,-774,3806,-1319,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18730,-779,3856,-1348,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18770,-761,3822,-1346,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18811,-731,3749,-1347,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18852,-813,3779,-1276,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18892,-774,3812,-1343,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18933,-752,3783,-1291,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
18973,-780,3780,-1306,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19014,-768,3800,-1346,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19055,-783,3791,-1333,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19094,-753,3822,-1344,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19133,-756,3808,-1346,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19172,-770,3796,-1336,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19211,-772,3813,-1328,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19250,-766,3795,-1315,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19289,-756,3786,-1322,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19328,-748,3810,-1341,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19367,-781,3800,-1343,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19406,-799,3786,-1332,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19446,-797,3779,-1325,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19485,-816,3803,-1301,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19524,-780,3805,-1342,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19564,-786,3801,-1266,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19603,-751,3815,-1400,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19643,-784,3801,-1284,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19682,-796,3783,-1350,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19722,-807,3768,-1340,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19761,-792,3814,-1341,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19801,-797,3772,-1319,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19840,-810,3805,-1331,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19880,-782,3794,-1315,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19917,-768,3821,-1337,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19955,-797,3807,-1335,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
19993,-793,3781,-1309,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20031,-816,3818,-1317,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20069,-801,3785,-1344,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20106,-790,3789,-1327,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20144,-746,3785,-1322,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20182,-813,3791,-1333,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20220,-768,3832,-1364,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20258,-802,3802,-1266,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20296,-773,3829,-1322,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20335,-742,3791,-1294,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20374,-764,3789,-1326,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20413,-782,3785,-1302,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20452,-805,3810,-1336,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20490,-775,3809,-1319,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20529,-796,3790,-1297,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20568,-797,3803,-1287,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20607,-761,3792,-1312,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20646,-780,3803,-1296,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20689,-779,3789,-1303,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20732,-784,3804,-1333,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20775,-813,3795,-1298,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20818,-795,3793,-1318,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20861,-818,3773,-1302,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20904,-809,3774,-1330,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20947,-801,3793,-1320,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
20990,-809,3780,-1341,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21033,-812,3772,-1321,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21076,-830,3799,-1315,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21119,-794,3786,-1313,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21150,-801,3767,-1312,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21182,-843,3787,-1341,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21214,-831,3786,-1314,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21246,-818,3791,-1347,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21278,-799,3796,-1342,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21310,-815,3780,-1337,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21342,-822,3759,-1327,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21374,-837,3787,-1341,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21406,-796,3784,-1338,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21438,-831,3801,-1349,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21483,-833,3793,-1336,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21528,-830,3770,-1335,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21573,-818,3758,-1345,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21619,-794,3774,-1353,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21664,-827,3796,-1325,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21709,-824,3787,-1307,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21754,-803,3743,-1340,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21800,-833,3784,-1325,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21845,-798,3768,-1367,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21890,-833,3801,-1320,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21936,-840,3848,-1354,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21967,-786,3827,-1349,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
21998,-794,3767,-1360,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22029,-799,3801,-1391,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22060,-791,3817,-1381,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22092,-805,3759,-1343,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22123,-801,3808,-1395,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22154,-760,3787,-1324,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22185,-768,3755,-1366,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22216,-778,3761,-1356,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22248,-823,3769,-1345,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22287,-798,3725,-1333,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22326,-783,3733,-1354,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22365,-789,3765,-1321,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22404,-809,3750,-1327,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22443,-802,3781,-1383,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22482,-816,3807,-1313,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22521,-775,3804,-1423,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22560,-758,3801,-1339,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22599,-755,3788,-1355,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22638,-790,3784,-1371,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22674,-787,3811,-1336,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22711,-768,3798,-1327,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22748,-777,3797,-1387,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22785,-771,3765,-1335,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22822,-802,3784,-1372,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22859,-786,3769,-1331,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22896,-770,3766,-1354,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22933,-780,3781,-1338,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
22970,-774,3787,-1341,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23007,-781,3775,-1336,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23044,-788,3784,-1357,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23084,-780,3795,-1361,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23125,-777,3760,-1360,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23165,-783,3755,-1301,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23206,-776,3807,-1372,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23246,-799,3821,-1321,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23287,-773,3756,-1317,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23327,-816,3764,-1324,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23368,-797,3769,-1343,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23408,-804,3832,-1356,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23449,-794,3808,-1324,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23488,-776,3782,-1311,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23527,-786,3778,-1308,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23567,-827,3780,-1329,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23606,-822,3757,-1305,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23646,-831,3806,-1310,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23685,-845,3821,-1332,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23725,-833,3791,-1326,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23764,-826,3792,-1335,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23804,-827,3792,-1318,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23843,-804,3788,-1364,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23883,-849,3798,-1284,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23919,-822,3796,-1363,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23956,-826,3784,-1278,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
23992,-830,3782,-1324,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24029,-835,3786,-1324,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24066,-854,3781,-1297,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24102,-845,3787,-1299,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24139,-864,3805,-1351,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24175,-866,3792,-1247,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24212,-866,3794,-1277,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24249,-861,3814,-1285,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24288,-846,3769,-1251,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24328,-856,3792,-1269,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24368,-873,3820,-1260,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24408,-852,3778,-1269,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24448,-866,3763,-1266,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24488,-878,3826,-1258,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24528,-833,3822,-1231,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24568,-813,3755,-1229,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24608,-835,3829,-1214,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24648,-843,3810,-1302,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24684,-847,3844,-1201,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24721,-860,3844,-1278,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24758,-838,3787,-1215,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24795,-819,3798,-1242,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24832,-808,3813,-1268,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24869,-799,3821,-1270,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24906,-798,3820,-1224,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24943,-824,3854,-1283,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
24980,-812,3785,-1256,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
25017,-842,3836,-1257,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
25054,-837,3850,-1274,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
25093,-821,3786,-1230,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
25132,-779,3802,-1250,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
25171,-809,3833,-1211,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
25210,-795,3804,-1299,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
25250,-802,3780,-1245,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
25289,-807,3779,-1260,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
25328,-781,3781,-1288,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
25367,-806,3814,-1264,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
25406,-813,3800,-1285,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
25446,-780,3767,-1282,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
25485,-830,3841,-1266,,9ffd7eee-c8db-4e92-8c63-6149e5ba53aa,,berdiri,bersedekap,,
